id,name,brand,operator,address,latitude,longitude,district,district_id,neighborhood,neighborhood_id,opening_hours,car_wash,compressed_air,wheelchair,fuel:diesel,fuel:octane_95,geometry_wkt
2021286658,unknown gas station,,RWE-Effizienz,,52.5286025,13.2274076,Spandau,11005005,Spandau,0501,,,,,,,POINT (13.227408 52.528602)
2180068985,unknown gas station,,RWE-Effizienz,,52.4811114,13.5265544,Lichtenberg,11011011,Karlshorst,1102,,,,,,,POINT (13.526554 52.481111)
2304892034,unknown gas station,,RWE-Effizienz,,52.5128338,13.6121456,Marzahn-Hellersdorf,11010010,Mahlsdorf,1004,,,,,,,POINT (13.612146 52.512834)
2361317277,unknown gas station,E.ON Drive,E.ON,,52.4860926,13.4240035,Neukölln,11008008,Neukölln,0801,,,,,,,POINT (13.424004 52.486093)
2494363157,unknown gas station,,RWE-Effizienz,,52.5622928,13.3248397,Reinickendorf,11012012,Reinickendorf,1201,,,,,,,POINT (13.32484 52.562293)
2619607794,unknown gas station,,RWE-Effizienz,,52.440041,13.3869166,Tempelhof-Schöneberg,11007007,Mariendorf,0704,,,,,,,POINT (13.386917 52.440041)
2621930687,unknown gas station,,RWE-Effizienz,,52.5229941,13.4661717,Pankow,11003003,Prenzlauer Berg,0301,,,,,,,POINT (13.466172 52.522994)
2621930688,unknown gas station,,RWE-Effizienz,,52.54837,13.5012126,Lichtenberg,11011011,Alt-Hohenschönhausen,1110,,,,,,,POINT (13.501213 52.54837)
2625584866,unknown gas station,,Lautlos durch Deutschland,,52.5122248,13.3824953,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.382495 52.512225)
2625607659,unknown gas station,,Vattenfall,,52.5111557,13.3895627,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.389563 52.511156)
2625969061,unknown gas station,,RWE-Effizienz,,52.509474,13.3895496,Mitte,11001001,Mitte,0101,,,,,,,POINT (13.38955 52.509474)
2628752233,Innogy,Innogy,Innogy,,52.4693553,13.3711718,Tempelhof-Schöneberg,11007007,Tempelhof,0703,24/7,,,,,,POINT (13.371172 52.469355)
2655325123,unknown gas station,,RWE-Effizienz,,52.4731897,13.4570142,Neukölln,11008008,Neukölln,0801,,,,,,,POINT (13.457014 52.47319)
2655446845,unknown gas station,,Vattenfall,,52.5496895,13.388575,Mitte,11001001,Gesundbrunnen,0106,,,,,,,POINT (13.388575 52.54969)
