id,name,artwork_type,artist_name,street,neighborhood_id,district_id,postal_code,material,start_date,image,wikidata,wikimedia_commons,latitude,longitude
13254184494,st.-laurentius-stadtkirche,sculpture,,,0909,11009009,,,,,,,52.4675722,13.52741
13254184495,neue wache,sculpture,,,0909,11009009,,,,,,,52.4675757,13.5278854
13254184496,schloss biesdorf,sculpture,,,0909,11009009,,,,,,,52.4674124,13.5274764
13254184497,museum kesselhaus,sculpture,,,0909,11009009,,,,,,,52.4673992,13.5275404
13258952844,begrüntes tor der handwerker,sculpture,peter de longueville,,0502,11005005,,,1986,,Q136649726,file:skulptur nonnendammallee 141 (hasel) begrüntes tor der bauhandwerker&peter de longueville&1986.jpg,52.5389976,13.241822
13261093036,stehender jüngling,statue,lidy von lüttwitz,,1209,11012012,,stone,1954,file:statue eichborndamm 215 (wittn) stehender jüngling&lidy von lüttwitz&1954.jpg,Q110249747,category:stehender jüngling (lidy von lüttwitz),52.588944,13.324142
13282645550,windspiel,sculpture,achim kühn,,1111,11011011,,metal,,file:skulptur windspiel achim kühn otto-marquardt-straße berlin-fennpfuhl 01.jpg,Q136705891,"category:windspiel (achim kühn, berlin-fennpfuhl)",52.5338408,13.4688293
13289087831,malort friedrichshain,,,,0201,11002002,,,,,,,52.5257334,13.4516409
5486529,unser leben,mural,walter womacka,,0101,11001001,,,1964,,Q95571931,,52.521249350000005,13.416505290773522
28503881,bierpinsel,architecture,,,0601,11006006,,,,,Q520281,,52.461455799999996,13.324709686682176
53238506,mensch und raum,relief,,,1001,11010010,,,,,Q108282706,category:mensch und raum (walter womacka),52.52559585,13.543596378306573
55464082,pamukkale,architecture,wigand witting,,0202,11002002,,,1998,file:görlitzer bahnhof amphitheater.jpg,Q114141568,,52.49791505,13.433578158799953
112149783,kreuzberg tower,architecture,john hejduk,,0202,11002002,,,1987,file:berlin-kreuzberg besselstraße kreuzberg tower john hejduk mit flügelbau.jpg,Q1788198,category:kreuzberg tower,52.504927499999994,13.392175266302715
